iter	Passed	Remaining
0	151	151435
1	154	77252
2	156	52158
3	158	39572
4	160	31952
5	162	26849
6	163	23180
7	164	20416
8	165	18271
9	167	16599
10	168	15178
11	169	13988
12	170	12972
13	172	12114
14	173	11366
15	175	10785
16	177	10267
17	179	9783
18	181	9348
19	182	8955
20	184	8604
21	186	8283
22	188	8000
23	190	7752
24	192	7523
25	194	7290
26	196	7077
27	198	6883
28	200	6700
29	201	6525
30	203	6375
31	206	6237
32	208	6097
33	209	5966
34	211	5836
35	213	5716
36	215	5604
37	217	5494
38	219	5402
39	221	5308
40	223	5217
41	224	5129
42	226	5048
43	228	4966
44	230	4890
45	232	4822
46	234	4761
47	236	4691
48	238	4631
49	240	4573
50	242	4518
51	244	4459
52	246	4402
53	248	4355
54	250	4303
55	252	4257
56	254	4207
57	256	4163
58	258	4120
59	260	4077
60	262	4038
61	264	4004
62	266	3968
63	268	3929
64	270	3889
65	272	3849
66	273	3812
67	275	3776
68	277	3748
69	279	3718
70	281	3686
71	283	3655
72	285	3627
73	287	3598
74	289	3566
75	290	3532
76	292	3512
77	294	3482
78	296	3451
79	297	3418
80	298	3386
81	299	3354
82	300	3317
83	301	3286
84	302	3256
85	303	3226
86	304	3198
87	306	3173
88	307	3149
89	308	3123
90	310	3096
91	311	3070
92	312	3045
93	313	3020
94	314	2995
95	315	2969
96	316	2946
97	317	2923
98	318	2900
99	319	2877
100	320	2854
101	322	2838
102	323	2820
103	324	2799
104	325	2776
105	326	2755
106	327	2734
107	328	2713
108	329	2692
109	330	2674
110	331	2655
111	332	2635
112	333	2615
113	334	2595
114	334	2577
115	336	2562
116	337	2544
117	338	2527
118	338	2508
119	339	2491
120	340	2474
121	341	2456
122	342	2439
123	342	2422
124	343	2406
125	344	2390
126	345	2373
127	346	2357
128	346	2341
129	347	2326
130	348	2312
131	349	2296
132	350	2281
133	351	2270
134	352	2259
135	353	2246
136	354	2233
137	355	2219
138	356	2206
139	357	2193
140	357	2180
141	358	2168
142	359	2155
143	360	2143
144	361	2130
145	362	2118
146	362	2106
147	363	2094
148	365	2088
149	367	2084
150	368	2073
151	369	2063
152	370	2052
153	371	2041
154	372	2031
155	373	2021
156	375	2014
157	375	2003
158	376	1993
159	377	1982
160	378	1971
161	379	1961
162	381	1956
163	382	1949
164	383	1939
165	384	1930
166	384	1920
167	385	1911
168	386	1902
169	387	1893
170	388	1884
171	389	1874
172	390	1865
173	391	1856
174	391	1847
175	392	1838
176	393	1829
177	394	1821
178	395	1814
179	396	1807
180	397	1799
181	398	1791
182	399	1782
183	400	1774
184	401	1768
185	402	1761
186	403	1754
187	404	1746
188	405	1738
189	406	1731
190	406	1723
191	407	1715
192	408	1708
193	409	1703
194	411	1697
195	412	1690
196	412	1682
197	413	1675
198	414	1668
199	415	1661
200	416	1654
201	417	1647
202	417	1640
203	418	1633
204	419	1626
205	420	1620
206	421	1613
207	421	1606
208	422	1600
209	423	1593
210	424	1589
211	426	1583
212	427	1577
213	427	1571
214	428	1565
215	429	1560
216	430	1554
217	431	1547
218	432	1541
219	433	1535
220	433	1529
221	434	1522
222	435	1516
223	436	1510
224	436	1504
225	437	1498
226	438	1492
227	439	1488
228	440	1483
229	441	1477
230	442	1471
231	442	1466
232	443	1460
233	444	1455
234	445	1449
235	446	1443
236	446	1438
237	447	1432
238	448	1427
239	449	1422
240	449	1416
241	450	1411
242	451	1406
243	452	1401
244	452	1395
245	454	1393
246	456	1390
247	457	1386
248	458	1381
249	458	1376
250	459	1372
251	460	1367
252	461	1362
253	462	1357
254	463	1353
255	464	1348
256	465	1346
257	466	1341
258	467	1336
259	468	1332
260	469	1328
261	470	1325
262	471	1320
263	472	1316
264	472	1311
265	473	1307
266	474	1302
267	475	1298
268	476	1294
269	476	1289
270	477	1285
271	478	1280
272	479	1276
273	480	1272
274	480	1268
275	481	1263
276	482	1260
277	484	1257
278	485	1253
279	486	1250
280	487	1246
281	487	1242
282	488	1238
283	491	1240
284	493	1237
285	494	1233
286	495	1229
287	495	1225
288	496	1222
289	499	1222
290	500	1219
291	501	1216
292	502	1213
293	503	1209
294	504	1206
295	505	1202
296	506	1199
297	507	1195
298	508	1191
299	509	1188
300	510	1184
301	510	1181
302	512	1179
303	513	1176
304	514	1173
305	515	1169
306	516	1166
307	517	1163
308	518	1160
309	519	1156
310	521	1155
311	522	1152
312	523	1148
313	524	1145
314	525	1141
315	526	1138
316	528	1139
317	529	1136
318	530	1132
319	531	1129
320	532	1126
321	533	1123
322	534	1120
323	535	1117
324	537	1116
325	538	1112
326	540	1112
327	541	1109
328	543	1109
329	544	1105
330	545	1102
331	546	1099
332	547	1096
333	548	1093
334	548	1089
335	549	1086
336	550	1083
337	551	1079
338	552	1076
339	552	1073
340	553	1070
341	554	1067
342	555	1063
343	558	1064
344	559	1062
345	560	1059
346	561	1056
347	562	1053
348	563	1051
349	564	1048
350	565	1045
351	566	1042
352	566	1039
353	567	1035
354	568	1033
355	569	1030
356	570	1027
357	572	1026
358	573	1023
359	574	1020
360	575	1018
361	576	1015
362	576	1012
363	577	1009
364	578	1006
365	579	1004
366	580	1001
367	581	998
368	582	995
369	583	993
370	584	990
371	585	987
372	587	986
373	587	984
374	588	981
375	589	978
376	590	975
377	591	973
378	592	970
379	593	968
380	594	965
381	595	962
382	595	960
383	596	957
384	597	954
385	598	951
386	599	949
387	599	946
388	600	943
389	602	942
390	603	940
391	604	937
392	605	934
393	606	932
394	607	930
395	608	927
396	609	925
397	609	922
398	610	919
399	611	917
400	612	914
401	613	912
402	613	909
403	614	906
404	615	904
405	617	903
406	618	900
407	618	898
408	619	895
409	620	893
410	621	890
411	622	888
412	623	885
413	624	883
414	624	880
415	625	878
416	626	876
417	628	874
418	629	872
419	630	870
420	631	868
421	632	866
422	633	864
423	634	861
424	635	859
425	636	857
426	636	854
427	637	852
428	638	849
429	639	847
430	640	845
431	640	842
432	641	840
433	642	838
434	643	836
435	644	833
436	645	831
437	646	829
438	647	827
439	648	825
440	649	823
441	650	821
442	651	818
443	652	816
444	652	814
445	653	812
446	654	810
447	656	808
448	657	806
449	657	804
450	658	801
451	659	799
452	660	797
453	661	795
454	662	793
455	663	791
456	663	788
457	664	786
458	665	784
459	666	782
460	667	780
461	668	778
462	668	775
463	669	773
464	670	771
465	671	769
466	672	767
467	672	764
468	673	762
469	675	761
470	676	759
471	676	757
472	677	755
473	678	752
474	679	750
475	680	748
476	681	746
477	681	744
478	682	742
479	683	740
480	684	738
481	685	736
482	685	734
483	686	732
484	687	730
485	688	728
486	689	725
487	690	724
488	691	722
489	692	720
490	693	718
491	693	716
492	694	714
493	695	712
494	696	710
495	696	708
496	697	706
497	698	704
498	699	702
499	700	700
500	700	698
501	701	696
502	702	694
503	703	692
504	704	690
505	705	688
506	706	686
507	706	684
508	707	682
509	708	680
510	709	678
511	710	676
512	711	675
513	711	672
514	712	671
515	713	669
516	714	667
517	714	665
518	715	663
519	716	661
520	717	659
521	717	657
522	718	655
523	720	654
524	720	652
525	721	650
526	722	648
527	723	646
528	723	644
529	724	642
530	725	640
531	726	638
532	726	636
533	727	635
534	728	633
535	729	631
536	730	629
537	730	627
538	731	625
539	732	624
540	733	622
541	734	620
542	735	618
543	736	617
544	736	615
545	737	613
546	738	611
547	739	609
548	740	608
549	741	606
550	741	604
551	742	602
552	743	600
553	744	599
554	744	597
555	745	595
556	746	593
557	747	592
558	748	590
559	749	588
560	750	586
561	750	585
562	751	583
563	752	581
564	753	579
565	754	578
566	754	576
567	755	574
568	756	573
569	757	571
570	758	569
571	758	567
572	759	566
573	760	564
574	761	562
575	761	560
576	762	559
577	763	557
578	764	555
579	765	554
580	766	552
581	767	550
582	767	549
583	768	547
584	769	545
585	770	544
586	770	542
587	771	540
588	772	539
589	773	537
590	774	535
591	775	534
592	775	532
593	776	530
594	777	529
595	778	527
596	779	526
597	780	524
598	780	522
599	781	521
600	782	519
601	783	517
602	784	516
603	784	514
604	785	512
605	786	511
606	787	509
607	787	507
608	788	506
609	789	504
610	790	503
611	791	501
612	792	500
613	796	500
614	797	499
615	798	497
616	799	496
617	800	494
618	801	493
619	802	492
620	803	490
621	804	488
622	805	487
623	806	485
624	807	484
625	808	482
626	809	481
627	810	480
628	811	478
629	812	477
630	813	475
631	814	474
632	815	472
633	816	471
634	817	469
635	818	468
636	819	466
637	820	465
638	821	463
639	821	462
640	822	460
641	824	459
642	825	458
643	825	456
644	826	454
645	827	453
646	828	451
647	828	450
648	829	448
649	830	447
650	830	445
651	831	443
652	832	442
653	833	440
654	834	439
655	834	437
656	835	436
657	836	434
658	837	433
659	839	432
660	840	430
661	840	429
662	841	427
663	842	426
664	843	424
665	843	423
666	844	421
667	845	420
668	846	418
669	846	417
670	847	415
671	848	414
672	849	412
673	850	411
674	850	409
675	851	408
676	853	406
677	854	405
678	855	404
679	855	402
680	856	401
681	857	399
682	858	398
683	859	396
684	860	395
685	860	394
686	861	392
687	862	391
688	863	389
689	863	388
690	864	386
691	865	385
692	866	383
693	867	382
694	868	381
695	869	379
696	870	378
697	871	376
698	871	375
699	872	374
700	873	372
701	874	371
702	875	369
703	875	368
704	876	366
705	877	365
706	878	364
707	879	362
708	880	361
709	880	359
710	881	358
711	883	357
712	884	356
713	885	354
714	886	353
715	887	351
716	887	350
717	888	348
718	889	347
719	890	346
720	890	344
721	891	343
722	892	341
723	893	340
724	893	339
725	894	337
